,negative,positive,total
ekkkkk,1,0,1
ekm,0,2,2
el,17,17,34
ela,1,0,1
elaborate,1,3,4
elaina,1,0,1
elaine,4,0,4
elantra,0,1,1
elas,1,0,1
elastic,0,1,1
elated,2,0,2
elbow,4,1,5
elbowed,0,1,1
elbowing,1,0,1
elc,1,0,1
elder,0,1,1
elderflower,0,1,1
elderly,2,4,6
elders,0,2,2
eldest,2,1,3
eldora,0,1,1
eldorado,1,0,1
ele,4,3,7
eleanor,1,1,2
elect,1,0,1
elected,0,4,4
election,3,4,7
elections,5,4,9
elective,2,1,3
electo,0,1,1
electoral,1,0,1
electric,5,9,14
electrical,1,2,3
electricbath,1,0,1
electrician,1,0,1
electricity,5,4,9
electrified,0,1,1
electrik,0,4,4
electrition,0,1,1
electro,1,3,4
electrocute,0,1,1
electronic,2,4,6
electronics,2,0,2
eleg,0,1,1
elegance,1,0,1
elegant,0,3,3
elektrik,1,0,1
elem,1,0,1
elemen,1,0,1
element,2,2,4
elementary,6,3,9
elements,2,2,4
elemis,1,0,1
elena,1,0,1
elephant,4,6,10
elephants,3,4,7
eles,2,0,2
elevate,1,0,1
elevation,2,0,2
elevator,4,3,7
elevators,2,0,2
eleven,3,1,4
elevensestime,1,0,1
elf,3,1,4
elgin,1,0,1
eli,1,5,6
elicits,0,1,1
elicopterul,1,0,1
elieve,1,0,1
eligible,2,7,9
elijah,1,0,1
eliminate,1,1,2
eliminated,4,3,7
elimination,2,0,2
eliptical,1,0,1
elisa,1,0,1
elisaaa,0,1,1
elise,3,0,3
elises,1,0,1
elite,2,0,2
elitist,1,0,1
elive,1,0,1
eliza,0,1,1
elizabeth,4,5,9
ell,0,1,1
ella,3,0,3
ellbow,1,0,1
elle,3,5,8
ellen,12,5,17
elletsville,1,0,1
ellicee,0,1,1
ellie,4,2,6
ellieee,0,1,1
ellington,0,1,1
elliot,0,2,2
elliott,2,1,3
ellis,1,2,3
ello,1,3,4
ellon,0,1,1
ellora,0,1,1
ellsbur,1,0,1
ellsbury,1,0,1
ellwoods,1,0,1
elly,1,1,2
elmah,0,1,1
elmer,1,0,1
elmo,4,5,9
elmsford,1,0,1
elmwood,1,0,1
eloborate,0,1,1
eloises,0,1,1
eloped,1,0,1
eloquence,1,0,1
eloquent,2,1,3
eloquently,1,0,1
eloquinze,1,0,1
elora,0,1,1
elphaba,0,1,1
elrond,1,0,1
els,1,0,1
elsah,0,1,1
elsbe,0,1,1
else,160,181,341
elseeeeeeeee,0,1,1
elses,1,1,2
elsewhere,4,5,9
elsewise,1,0,1
elshab,1,0,1
elsie,0,1,1
elsker,1,0,1
elspell,0,1,1
elton,4,2,6
elucidate,0,1,1
elusive,0,1,1
elves,1,0,1
elvis,4,2,6
elwes,0,1,1
em,73,137,210
ema,1,0,1
emabarrassed,0,1,1
emacs,0,1,1
emagrecer,0,1,1
emai,1,0,1
email,106,197,303
emailed,6,22,28
emailer,0,1,1
emailing,4,5,9
emailnya,1,0,1
emails,19,29,48
emailscam,0,1,1
emanating,0,1,1
emancipate,1,0,1
emang,1,2,3
emanuel,0,1,1
emar,0,1,1
emarcomm,0,1,1
emarosa,0,1,1
embarassed,3,1,4
embarassing,1,2,3
embarassment,2,1,3
embarks,1,0,1
embarrased,0,1,1
embarrasing,1,1,2
embarrasment,0,1,1
embarrass,0,1,1
embarrassed,9,5,14
embarrasses,0,1,1
embarrassing,5,9,14
embarrassment,0,1,1
embarresed,1,0,1
embarressed,1,0,1
embarressing,1,0,1
embassies,1,0,1
embassy,1,0,1
embed,0,5,5
embedded,2,1,3
embedding,0,1,1
embellishments,0,1,1
ember,2,0,2
embrace,1,4,5
embraced,1,0,1
embraces,0,2,2
embracing,0,2,2
embrassing,1,1,2
embroidered,0,1,1
embrya,1,0,1
emena,0,1,1
emerald,1,2,3
emeralds,0,1,1
emergen,0,2,2
emergenc,0,1,1
emergencies,0,3,3
emergency,4,10,14
emergent,1,0,1
emerson,2,1,3
emeryville,0,1,1
emetic,1,0,1
emf,0,1,1
emg,0,2,2
emi,1,2,3
emigrated,1,0,1
emil,0,1,1
emilie,1,0,1
emily,14,13,27
eminem,13,6,19
eminemmouthfulofboratassftw,1,0,1
eminently,1,0,1
emirates,0,4,4
emisiune,0,1,1
emissaries,0,1,1
emjay,1,0,1
eml,0,1,1
emm,1,1,2
emma,6,13,19
emmagination,0,1,1
emmah,0,1,1
emmaline,1,0,1
emmett,3,0,3
emmph,1,0,1
emmy,2,3,5
emo,17,15,32
emocionei,1,0,1
emonieves,1,0,1
emooooootional,1,0,1
emory,0,1,1
emos,0,1,1
emoticion,1,0,1
emoticonhugs,0,1,1
emoticons,1,2,3
emoting,1,0,1
emotion,4,3,7
emotional,8,7,15
emotionally,4,2,6
emotionless,1,0,1
emotions,9,5,14
emotiv,0,1,1
emp,2,0,2
empanada,0,1,1
empathise,1,0,1
empathize,0,3,3
empathy,0,1,1
emperor,2,0,2
empezar,0,1,1
emphasis,1,1,2
emphasize,0,2,2
emphatically,1,0,1
empire,5,4,9
empires,0,1,1
employ,1,0,1
employable,0,1,1
employed,1,1,2
employee,7,4,11
employees,1,2,3
employer,3,3,6
employers,0,1,1
employment,0,1,1
employs,0,1,1
emplyed,1,0,1
empower,2,0,2
empowered,2,0,2
empress,0,1,1
empresta,1,0,1
emptied,1,0,1
empties,1,0,1
emptiness,1,0,1
empty,20,26,46
emptycoffeecup,0,1,1
emptyness,1,0,1
empy,0,1,1
ems,1,1,2
emtional,0,1,1
emu,0,1,1
emulating,0,1,1
emulators,0,1,1
emusic,1,1,2
emy,0,1,1
en,17,18,35
enaakk,0,1,1
enable,2,1,3
enabled,0,4,4
enablement,1,0,1
enablers,1,0,1
enables,0,1,1
enabling,2,0,2
enacting,1,0,1
enak,1,1,2
enaknya,1,0,1
enamored,0,1,1
enbom,1,0,1
encanta,1,0,1
encapsulation,0,1,1
enchant,1,0,1
enchanted,1,0,1
enchanting,1,0,1
enchantress,1,0,1
enchiladas,0,1,1
enclosing,1,0,1
enclosure,1,0,1
encode,1,3,4
encoding,0,1,1
encontrar,1,0,1
encontre,1,0,1
encore,0,4,4
encores,0,1,1
encounter,3,2,5
encounters,1,2,3
encounting,1,0,1
encourage,4,7,11
encouraged,2,2,4
encouragement,2,7,9
encouragements,1,0,1
encourages,1,0,1
encouraging,6,11,17
encouragment,1,2,3
encredibly,1,0,1
encrypted,0,1,1
encryption,0,1,1
encyclopedia,2,0,2
end,205,233,438
enda,0,1,1
endangered,2,1,3
enddd,1,0,1
ende,2,0,2
endearing,1,0,1
endeavor,3,1,4
endeavour,1,2,3
ended,42,49,91
endet,1,0,1
endgame,0,2,2
ending,25,21,46
endings,0,2,2
endless,4,3,7
endlessly,1,0,1
endo,0,1,1
endometriosis,0,1,1
endoora,0,1,1
endorphins,0,1,1
endorse,1,0,1
endorsement,2,0,2
endorsements,0,4,4
endorsing,0,1,1
endoscopy,0,1,1
ends,19,24,43
endurance,1,0,1
endure,3,1,4
endured,0,3,3
enduring,1,1,2
enema,2,0,2
enemies,1,2,3
enemy,3,3,6
energetic,0,2,2
energised,0,1,1
energize,1,0,1
energized,0,2,2
energizer,0,1,1
energy,15,30,45
enervon,1,0,1
enews,0,1,1
enfermita,1,0,1
enforce,0,1,1
enforced,1,1,2
enforcement,0,1,1
eng,4,2,6
engadget,1,0,1
engage,3,0,3
engaged,5,6,11
engagement,6,8,14
engages,1,0,1
engaging,3,1,4
engagment,1,0,1
engase,1,0,1
engery,1,0,1
engga,0,1,1
engiish,0,1,1
engine,10,6,16
engineer,2,3,5
engineering,0,2,2
engineers,1,1,2
engines,2,3,5
england,33,41,74
englands,0,1,1
englisch,1,1,2
english,68,75,143
englishman,1,0,1
englishmen,1,0,1
englush,0,1,1
engrish,0,1,1
engrossed,0,2,2
enhance,2,0,2
enhanced,3,1,4
enhancing,1,0,1
enigk,2,0,2
enigma,0,1,1
enimies,1,0,1
enix,2,0,2
enjo,0,1,1
enjoooy,1,0,1
enjoy,207,369,576
enjoyable,8,6,14
enjoyd,0,1,1
enjoyed,47,70,117
enjoyin,3,2,5
enjoying,68,82,150
enjoyment,1,2,3
enjoyn,1,0,1
enjoys,1,1,2
enlarge,1,0,1
enlighten,2,0,2
enlightened,1,0,1
enlightening,0,2,2
enlightenment,1,2,3
enlightens,1,0,1
enlish,0,1,1
enlist,1,1,2
enlisted,0,1,1
enmd,1,0,1
enna,0,1,1
ennndddd,1,0,1
enogh,0,1,1
enoje,0,1,1
enojo,0,1,1
enojoying,0,1,1
enominous,0,1,1
enormous,0,1,1
enormously,2,0,2
enormouswings,1,0,1
enough,191,256,447
enought,1,1,2
enquired,1,0,1
enquiries,1,1,2
enquiry,1,0,1
enraged,0,1,1
enrich,1,0,1
enroll,1,0,1
enrolling,0,1,1
enrollment,0,2,2
ense,0,1,1
ensemble,0,1,1
ensue,1,0,1
ensued,0,1,1
ensues,0,1,1
ensure,1,2,3
ensured,1,0,1
ensures,1,0,1
ent,3,0,3
entah,1,0,1
entaining,1,0,1
entendo,1,0,1
entendres,1,0,1
enter,28,13,41
entered,8,5,13
entergy,0,1,1
entering,3,8,11
enterprise,2,2,4
enterprising,0,1,1
entertain,7,7,14
entertained,6,7,13
entertainers,1,0,1
entertaining,15,22,37
entertainment,8,13,21
enthu,0,1,1
enthusiam,0,1,1
enthusiasm,4,6,10
enthusiast,2,0,2
enthusiastic,1,2,3
enthusiastical,0,1,1
enthusiastically,1,0,1
enthusiasts,0,1,1
entire,33,28,61
entirely,7,11,18
entirety,0,3,3
entities,1,0,1
entitled,1,4,5
entity,1,0,1
entourage,3,1,4
entrance,1,5,6
entrenched,1,1,2
entrepreneur,2,0,2
entries,1,2,3
entropy,0,1,1
entrou,1,0,1
entry,13,13,26
enuf,5,10,15
enuff,5,2,7
env,3,0,3
envelope,1,2,3
envelopes,0,1,1
enviciate,0,1,1
envidia,0,1,1
enviei,0,1,1
envious,4,11,15
enviro,0,1,1
enviroment,1,0,1
enviromental,0,1,1
environment,2,5,7
environmental,4,2,6
environmentally,0,1,1
envirowise,0,1,1
envision,1,0,1
envisioned,0,1,1
envolves,0,1,1
envy,18,30,48
eny,0,1,1
enza,1,0,1
enzo,0,3,3
enzymion,0,1,1
enzyte,0,1,1
eo,0,1,1
eod,1,0,1
eoin,0,1,1
eon,0,1,1
eons,2,1,3
eosd,0,1,1
eough,1,0,1
ep,21,26,47
epa,0,1,1
epargne,1,0,1
epcot,1,0,1
epecially,1,0,1
epeen,1,0,1
epends,1,0,1
ephemera,1,0,1
ephesians,1,0,1
epi,0,2,2
epic,54,39,93
epically,2,0,2
epiccc,1,0,1
epicenter,1,0,1
epicfail,2,3,5
epicly,0,2,2
epicmove,1,0,1
epicness,0,2,2
epidemic,0,1,1
epidurals,0,1,1
epilepsy,1,1,2
epilogue,0,1,1
epis,0,1,1
episide,1,0,1
episode,61,54,115
episodes,22,27,49
episonde,0,1,1
epitaph,1,0,1
epitome,1,0,1
epl,0,1,1
epoc,0,1,1
eposito,1,0,1
epoxied,0,1,1
epoxy,0,1,1
eppies,0,1,1
eppudu,0,1,1
eppy,1,1,2
eps,9,5,14
epsiode,1,0,1
epsom,1,1,2
epson,0,1,1
epstein,1,0,1
epydoc,0,1,1
eq,0,1,1
eqns,0,1,1
eqs,0,1,1
equal,6,5,11
equalise,0,1,1
equalled,0,1,1
equally,3,8,11
equalopportunity,0,1,1
equals,3,3,6
equaly,0,1,1
equasion,0,1,1
equate,1,0,1
equates,0,1,1
equation,1,3,4
equations,1,1,2
equator,0,2,2
equipe,0,1,1
equipment,4,5,9
equipped,0,1,1
equivalence,1,1,2
equivalent,0,7,7
er,25,28,53
era,4,8,12
eraa,0,1,1
eradicate,1,0,1
eragon,1,0,1
eran,0,1,1
erase,3,3,6
erased,5,4,9
eraser,1,0,1
erasing,0,2,2
erdrich,0,1,1
ere,2,3,5
erecting,0,1,1
eres,1,2,3
erg,1,0,1
ergh,1,2,3
ergo,1,1,2
ergonomics,1,0,1
erh,0,1,1
eric,14,10,24
erica,4,3,7
ericas,1,0,1
erich,1,0,1
ericka,1,0,1
ericson,1,0,1
ericsson,1,1,2
ericssons,1,0,1
erie,0,1,1
erik,2,1,3
erika,1,0,1
erikfx,0,1,1
erin,4,3,7
erinn,0,1,1
erki,1,0,1
erm,10,16,26
erma,0,1,1
ermet,1,0,1
ermm,1,0,1
ermmm,0,1,1
ernie,1,0,1
eroei,1,0,1
erol,0,1,1
eron,1,0,1
erotic,2,2,4
erotica,0,2,2
eroticarepublic,1,0,1
erp,1,0,1
err,8,11,19
errand,1,0,1
errands,3,5,8
errm,0,2,2
erro,0,1,1
erroneous,0,1,1
error,23,32,55
erroring,1,0,1
errors,9,4,13
errr,3,3,6
errrg,1,0,1
errrmm,0,1,1
errronee,1,0,1
errrr,2,3,5
errrrggghhh,0,1,1
errrrrinnn,1,0,1
errrrrr,1,0,1
errrrrrrr,1,0,1
errrrrrrrr,0,1,1
errthing,0,1,1
erryone,0,1,1
ers,2,5,7
ersis,1,0,1
erudite,1,0,1
erupted,0,1,1
eryeones,1,0,1
erykah,1,0,1
erynkoehn,0,1,1
eryone,0,1,1
es,15,13,28
esa,1,1,2
esagerato,1,0,1
esc,1,1,2
escala,1,0,1
escape,16,9,25
escaped,2,2,4
escaping,0,2,2
escapist,1,0,1
escentuals,1,0,1
escoje,1,0,1
escolhido,1,0,1
escondido,1,0,1
escort,2,1,3
escorts,0,1,1
escrito,1,0,1
escrow,0,1,1
escuchando,1,0,1
escura,1,0,1
esecond,1,0,1
eshoot,1,0,1
esi,1,0,1
eskelsen,0,1,1
eskie,1,0,1
eskimo,1,0,1
eskom,0,2,2
esl,2,0,2
esle,1,0,1
esme,1,2,3
esmosiii,1,0,1
eso,3,2,5
esok,0,1,1
esoou,1,0,1
esoteric,1,0,1
esotsm,3,0,3
esp,19,20,39
espacially,0,1,1
especial,0,1,1
especiall,1,0,1
especially,70,98,168
especialy,0,1,1
esperando,1,0,1
espere,1,0,1
esperemos,1,0,1
espero,1,0,1
espesh,2,0,2
esplained,0,1,1
esplanade,1,0,1
espn,4,6,10
esponja,1,0,1
esports,1,0,1
espresso,3,2,5
espressos,0,1,1
espy,1,0,1
esque,1,1,2
esra,0,1,1
ess,1,0,1
essamibear,1,0,1
essay,15,17,32
essays,2,6,8
essco,0,1,1
esse,2,0,2
essen,1,0,1
essence,0,3,3
essential,2,3,5
essentially,2,0,2
essentials,1,2,3
essex,1,1,2
essexeating,1,0,1
essie,1,0,1
est,11,4,15
esta,1,1,2
establish,0,1,1
established,1,5,6
establishing,1,0,1
estan,0,1,1
estar,1,0,1
estara,1,0,1
estarei,0,1,1
estas,1,0,1
estate,6,5,11
estates,0,1,1
estathe,1,0,1
estatic,0,1,1
estava,1,0,1
esteem,2,1,3
esteemed,1,0,1
estelle,0,1,1
ester,1,0,1
estes,0,1,1
estimate,1,0,1
estimated,1,1,2
estimates,1,0,1
estk,1,0,1
esto,0,1,1
estonia,1,1,2
estou,1,0,1
estoy,1,0,1
estrada,1,0,1
esuk,1,0,1
et,14,9,23
eta,1,1,2
etc,60,83,143
etchells,0,1,1
etchin,1,0,1
etching,1,0,1
etel,0,1,1
eternal,2,3,5
eternally,2,0,2
eternities,0,1,1
eternity,2,1,3
etf,1,0,1
etha,1,0,1
ethan,3,0,3
ethans,1,0,1
ethel,0,1,1
ether,1,2,3
ethernet,0,1,1
ethic,0,1,1
ethical,2,0,2
ethics,1,3,4
ethnic,1,1,2
ethnicities,0,1,1
ethnicity,1,0,1
etiler,1,0,1
etiquette,2,0,2
etl,1,1,2
eton,0,1,1
ets,0,2,2
etsian,0,1,1
etsy,7,11,18
ette,0,1,1
ettique,1,0,1
etv,1,0,1
etwas,0,1,1
eu,29,20,49
euch,1,0,1
euchre,0,1,1
eug,1,0,1
eugene,0,1,1
eugh,1,0,1
eughh,1,0,1
euh,2,1,3
euhl,1,0,1
eula,1,0,1
eunhyuk,0,2,2
eunice,1,0,1
euphemism,0,3,3
euphoria,0,1,1
euphorised,1,0,1
eur,0,1,1
eureka,1,2,3
eurggh,1,0,1
eurgh,3,2,5
euro,5,6,11
euromillions,1,0,1
euronews,1,0,1
europa,1,0,1
europe,25,36,61
european,7,9,16
europeans,1,1,2
europian,1,0,1
euros,4,1,5
eurosport,1,1,2
eurostar,0,1,1
eurotrip,0,1,1
eurotwitter,1,0,1
eurovision,17,2,19
eurovisions,1,0,1
euruko,2,0,2
euruope,1,0,1
eurusd,1,0,1
euthanasia,0,1,1
euval,0,1,1
ev,0,3,3
eva,12,8,20
evaaar,1,0,1
evac,0,1,1
evacuation,0,1,1
evade,1,0,1
evah,1,0,1
evan,1,5,6
evanescence,1,0,1
evanesence,1,0,1
evangelion,0,1,1
evangelist,0,1,1
evans,4,3,7
evansville,0,1,1
evaporate,2,0,2
evaporating,0,1,1
evar,2,1,3
evaz,0,1,1
evcery,0,1,1
evdo,0,1,1
eve,2,8,10
eveb,0,1,1
evee,1,1,2
eveeeeeeeeeeeeeer,1,0,1
eveer,1,0,1
evelyn,2,0,2
even,542,726,1268
evenin,0,1,1
evening,71,82,153
eveningggg,0,1,1
eveningly,0,1,1
evenings,3,1,4
evenly,1,0,1
evens,1,0,1
event,45,69,114
eventbox,1,0,1
eventbrite,1,1,2
eventful,0,1,1
eventhough,1,1,2
events,19,19,38
eventual,0,1,1
eventually,15,29,44
ever,366,382,748
everblue,1,0,1
everbody,1,2,3
everday,1,3,4
everest,2,1,3
everett,1,2,3
evergreen,0,1,1
everie,0,1,1
everlasting,1,0,1
evernote,0,2,2
everr,1,1,2
everrr,1,2,3
everrrr,1,2,3
everrrrr,0,1,1
everrrrrr,1,0,1
everrrrrrrrrrrrrr,0,1,1
evers,0,1,1
everthing,1,2,3
evertime,0,2,2
everton,12,3,15
everwhere,1,1,2
every,200,251,451
everybodies,1,0,1
everybodx,1,0,1
everybody,57,31,88
everybodys,1,0,1
everyday,43,45,88
everydayyyy,1,0,1
everymove,1,0,1
everyonce,0,1,1
everyone,360,401,761
everyonebutton,1,0,1
everyoneeee,1,0,1
everyones,11,13,24
everyonneee,0,1,1
everyrhing,1,0,1
everythang,1,0,1
everythign,1,0,1
everythiiiiing,1,0,1
everythin,0,2,2
everything,230,283,513
everythingg,1,0,1
everythinggg,0,1,1
everythings,10,5,15
everythink,0,1,1
everythiqn,0,1,1
everythng,0,1,1
everytime,25,24,49
everyting,0,1,1
everyway,0,1,1
everywehere,0,1,1
everywhere,29,50,79
everywhr,0,1,1
eves,0,1,1
evey,1,1,2
evian,1,0,1
evicted,1,0,1
eviction,2,2,4
evidence,1,6,7
evident,0,1,1
evidently,2,1,3
evie,1,0,1
evil,34,38,72
eville,0,1,1
evilness,0,1,1
evils,1,0,1
evilsmirk,1,0,1
evime,1,0,1
eviscerate,1,0,1
evlo,1,0,1
evms,0,1,1
evn,3,1,4
evntually,2,0,2
evo,1,2,3
evocative,0,1,1
evoked,1,0,1
evokes,0,1,1
evolute,1,0,1
evolution,3,2,5
evolve,2,3,5
evolved,1,2,3
evolving,1,1,2
evr,2,1,3
evri,1,0,1
evrkaity,1,0,1
evry,1,1,2
evrybdy,0,1,1
evryone,1,0,1
evrythg,1,0,1
evrythin,0,1,1
evrything,2,1,3
evrythng,0,1,1
evrytime,0,1,1
evvvver,1,0,1
ew,9,22,31
ewan,0,1,1
ewe,0,1,1
ewery,1,0,1
ewerybody,1,0,1
ewh,3,0,3
ewi,1,0,1
ewin,0,1,1
ewoks,0,1,1
ewr,1,0,1
ewu,1,0,1
eww,6,14,20
ewwie,0,1,1
ewwies,1,0,1
ewww,5,8,13
ewwww,1,1,2
ewxcited,0,1,1
ex,25,15,40
exacerbating,1,0,1
exaclty,1,0,1
exact,15,14,29
exacters,0,1,1
exactlly,1,0,1
exactly,77,134,211
exacty,1,0,1
exagerata,0,1,1
exaggerated,0,1,1
exaggerating,0,2,2
exahausted,1,0,1
exam,88,78,166
examboard,0,1,1
examen,3,1,4
examene,1,0,1
examination,2,0,2
examine,0,1,1
examined,1,0,1
examiner,0,1,1
examines,1,0,1
example,10,20,30
examples,1,1,2
exams,74,68,142
exasperating,0,1,1
exbf,0,1,1
excactly,1,0,1
excape,1,1,2
excditing,1,0,1
excedrin,1,0,1
exceed,0,1,1
exceeded,3,2,5
exceedingly,0,1,1
exceeds,2,1,3
excel,1,0,1
excelent,0,1,1
excelente,0,1,1
excellant,0,1,1
excellent,36,63,99
excellente,1,0,1
excentral,1,0,1
excepet,0,1,1
except,59,88,147
exceptable,0,1,1
excepted,1,0,1
exception,7,5,12
exceptionally,0,1,1
exceptions,1,1,2
excercise,0,1,1
excerpt,1,0,1
excersice,1,0,1
excess,1,1,2
excessive,1,2,3
excessivehashtagusage,1,0,1
excessivelybusy,1,0,1
exch,0,1,1
exchange,10,13,23
exchanged,1,1,2
exchanges,0,1,1
exchanging,2,0,2
exchangment,0,1,1
exchg,0,1,1
exciiiiiiiting,0,1,1
exciiited,1,0,1
excise,1,0,1
excite,1,0,1
excited,187,260,447
exciteddd,1,0,1
exciteded,0,1,1
excitedfor,0,1,1
excitedly,2,0,2
exciteed,2,0,2
exciteeedd,1,0,1
excitement,15,15,30
excites,1,0,1
excitin,0,1,1
exciting,44,87,131
excitingggg,1,0,1
excitinggggg,0,1,1
excitingly,0,1,1
excitment,0,1,1
excitttted,0,1,1
exclaim,1,0,1
exclamation,1,3,4
exclude,0,2,2
excluded,1,4,5
exclusive,8,6,14
exclusivelly,0,1,1
exclusively,0,2,2
exclusives,0,2,2
exco,1,0,1
excowgirl,1,0,1
excruciating,1,1,2
excrutiating,0,1,1
exctied,2,0,2
excursion,1,2,3
excusable,1,0,1
excuse,23,33,56
excused,1,1,2
excuses,3,5,8
exe,1,1,2
exec,2,3,5
execs,1,0,1
executable,0,1,1
execute,1,1,2
executed,1,0,1
executioner,0,1,1
executions,0,1,1
executive,2,5,7
exempt,0,1,1
exempted,0,1,1
exercise,15,22,37
exercised,2,0,2
exercises,2,2,4
exercising,2,3,5
exercize,0,1,1
exerpt,1,0,1
exersises,1,0,1
exerting,0,1,1
exes,1,0,1
exeter,0,3,3
exhale,0,1,1
exhamination,1,0,1
exhausing,0,1,1
exhaust,1,0,1
exhausted,20,19,39
exhausting,1,0,1
exhaustion,1,0,1
exhb,1,0,1
exhibit,1,3,4
exhibition,2,4,6
exhibs,1,0,1
exhilarating,1,1,2
exhilerating,0,1,1
exhilirating,0,1,1
exif,1,0,1
exile,2,1,3
exist,19,25,44
existant,1,0,1
existed,4,3,7
existence,2,5,7
existent,2,0,2
existential,1,0,1
existing,1,2,3
exists,6,5,11
existuje,1,0,1
exit,6,1,7
exited,3,8,11
exitement,0,1,1
exiting,2,1,3
exlax,1,0,1
exlusively,0,1,1
exmouth,0,1,1
exodus,0,3,3
exorcist,1,0,1
exotic,4,3,7
exoticbeachfeet,1,0,1
exp,5,3,8
expand,3,4,7
expanded,2,0,2
expanding,2,2,4
expands,0,1,1
expansion,0,2,2
expat,3,0,3
expecially,0,1,1
expect,27,37,64
expectation,1,0,1
expectations,6,6,12
expected,20,32,52
expectet,0,1,1
expecting,17,14,31
expects,0,1,1
expediter,1,0,1
expedition,0,2,2
expeerience,1,0,1
expekt,0,1,1
expen,0,1,1
expence,0,1,1
expenisive,0,1,1
expense,3,3,6
expenses,3,4,7
expensive,42,60,102
experiance,0,2,2
experience,58,60,118
experienced,4,0,4
experiences,2,3,5
experiencing,5,4,9
experiened,1,0,1
experiential,1,0,1
experiment,2,9,11
experimental,1,2,3
experimenting,1,3,4
experiments,3,0,3
expert,4,9,13
expertise,0,1,1
experts,5,2,7
expext,1,0,1
expierence,0,1,1
expierience,0,1,1
expire,2,2,4
expired,5,4,9
expires,0,3,3
expirian,0,1,1
explain,16,43,59
explained,2,3,5
explaines,0,1,1
explainin,0,1,1
explaining,5,4,9
explainlol,1,0,1
explains,6,11,17
explanation,3,8,11
explanations,1,0,1
explativie,1,0,1
expletives,0,1,1
explicit,2,3,5
explicitly,1,0,1
explination,0,2,2
explit,0,1,1
explode,7,6,13
exploded,2,2,4
explodes,1,2,3
explodieren,1,0,1
exploding,2,2,4
exploit,0,1,1
exploitation,1,0,1
exploitative,1,0,1
exploited,0,1,1
exploiting,1,0,1
exploits,1,0,1
exploooode,0,1,1
exploration,1,1,2
explorations,0,1,1
explore,5,7,12
explored,0,1,1
explorer,5,4,9
explores,0,1,1
exploring,6,2,8
explosion,3,0,3
explosions,3,0,3
expndable,1,0,1
expo,4,8,12
export,1,3,4
exportation,0,1,1
exporting,0,1,1
exports,1,1,2
expose,1,1,2
exposure,3,6,9
express,7,4,11
expressed,1,0,1
expresses,1,0,1
expressing,2,3,5
expression,7,5,12
expressions,0,2,2
expressly,1,0,1
expresso,2,2,4
exque,1,0,1
exquisite,1,0,1
exr,1,0,1
exremefirstaid,1,0,1
exs,2,0,2
exsist,1,1,2
exspensive,1,0,1
exspresso,1,0,1
ext,3,1,4
extemely,1,1,2
extend,4,4,8
extended,4,4,8
extending,0,1,1
extends,0,1,1
extension,2,2,4
extensions,3,2,5
extensively,0,1,1
extent,1,4,5
exterminator,1,0,1
external,7,4,11
extinct,2,2,4
extinction,1,0,1
extinguished,1,0,1
extinguisher,0,1,1
extjsinaction,1,0,1
extra,46,70,116
extraa,1,0,1
extrabold,1,0,1
extract,1,1,2
extracting,1,0,1
extraction,0,2,2
extracts,0,1,1
extracurriculars,0,1,1
extraordinaire,1,1,2
extraordinary,5,2,7
extras,3,1,4
extraterrestrial,1,0,1
extrav,1,0,1
extravagance,1,0,1
extravagant,0,1,1
extravaganza,2,3,5
extreamly,1,0,1
extreeeemly,0,1,1
extremadura,1,0,1
extreme,6,6,12
extremely,16,15,31
extremes,0,1,1
extremists,0,1,1
extremly,1,0,1
extrenely,1,0,1
extrovert,0,1,1
exus,1,0,1
ey,3,4,7
eydhafushi,1,0,1
eye,63,67,130
eyeballs,2,2,4
eyeblasterday,1,0,1
eyebrow,3,1,4
eyebrows,3,5,8
eyecatching,1,0,1
eyed,13,10,23
eyedeekay,0,1,1
eyeglasses,0,1,1
eyeing,0,3,3
eyelash,0,1,1
eyelashes,1,1,2
eyelid,1,2,3
eyelids,1,0,1
eyeliner,5,1,6
eyepatch,0,1,1
eyes,79,96,175
eyeshadow,0,3,3
eyestrain,0,1,1
eyez,0,1,1
eyota,0,1,1
eyou,0,1,1
eyre,1,0,1
eyy,0,1,1
eyyy,1,2,3
ez,1,4,5
ezine,0,1,1
fa,8,11,19
faaa,1,0,1
faaaaavorite,0,1,1
faaaar,1,1,2
faaast,0,1,1
faave,1,0,1
fab,19,53,72
fabby,3,0,3
faber,0,2,2
fabian,1,1,2
fable,1,1,2
fabled,0,1,1
fabluous,1,0,1
fabric,6,3,9
fabrics,1,0,1
fabs,1,0,1
fabulosity,0,1,1
fabulous,31,47,78
fabuloussssss,0,1,1
face,156,179,335
facebk,1,0,1
facebook,123,127,250
facebooked,1,0,1
facebookgate,1,0,1
facebooking,2,0,2
faceboooookkkk,1,0,1
faced,5,2,7
facee,1,1,2
facehunter,0,1,1
faceless,1,0,1
facepalm,0,1,1
facepalms,2,0,2
faceplate,1,0,1
faceportal,0,1,1
faces,16,7,23
facesinplaces,0,1,1
faceted,0,1,1
facetime,1,2,3
facetious,0,2,2
facett,1,0,1
facetubes,1,0,1
facey,0,1,1
facial,1,4,5
facialhairfriday,1,0,1
facil,0,1,1
facilitate,1,1,2
facility,2,1,3
facinated,0,1,1
facinelli,3,1,4
facing,3,6,9
facist,1,0,1
facists,0,1,1
fack,1,2,3
fackin,0,1,1
fackkkk,1,0,1
fact,64,58,122
factats,1,0,1
faction,0,2,2
factor,11,7,18
factories,1,0,1
factors,0,1,1
